date,horizon,anchor_mode,level,rolling_coverage_100
2021-09-16,1,historical_peak,0.8,
2021-09-17,1,historical_peak,0.8,
2021-09-20,1,historical_peak,0.8,
2021-09-21,1,historical_peak,0.8,
2021-09-22,1,historical_peak,0.8,
2021-09-23,1,historical_peak,0.8,
2021-09-24,1,historical_peak,0.8,
2021-09-27,1,historical_peak,0.8,
2021-09-28,1,historical_peak,0.8,
2021-09-29,1,historical_peak,0.8,
2021-09-30,1,historical_peak,0.8,
2021-10-01,1,historical_peak,0.8,
2021-10-04,1,historical_peak,0.8,
2021-10-05,1,historical_peak,0.8,
2021-10-06,1,historical_peak,0.8,
2021-10-07,1,historical_peak,0.8,
2021-10-08,1,historical_peak,0.8,
2021-10-11,1,historical_peak,0.8,
2021-10-12,1,historical_peak,0.8,
2021-10-13,1,historical_peak,0.8,
2021-10-14,1,historical_peak,0.8,
2021-10-15,1,historical_peak,0.8,
2021-10-18,1,historical_peak,0.8,
2021-10-19,1,historical_peak,0.8,
2021-10-20,1,historical_peak,0.8,
2021-10-21,1,historical_peak,0.8,
2021-10-22,1,historical_peak,0.8,
2021-10-25,1,historical_peak,0.8,
2021-10-26,1,historical_peak,0.8,
2021-10-27,1,historical_peak,0.8,
2021-10-28,1,historical_peak,0.8,
2021-10-29,1,historical_peak,0.8,
2021-11-01,1,historical_peak,0.8,
2021-11-02,1,historical_peak,0.8,
2021-11-03,1,historical_peak,0.8,
2021-11-04,1,historical_peak,0.8,
2021-11-05,1,historical_peak,0.8,
2021-11-08,1,historical_peak,0.8,
2021-11-09,1,historical_peak,0.8,
2021-11-10,1,historical_peak,0.8,0.925
2021-11-11,1,historical_peak,0.8,0.926829268292683
2021-11-12,1,historical_peak,0.8,0.9285714285714286
2021-11-15,1,historical_peak,0.8,0.9069767441860465
2021-11-16,1,historical_peak,0.8,0.9090909090909091
2021-11-17,1,historical_peak,0.8,0.9111111111111111
2021-11-18,1,historical_peak,0.8,0.8913043478260869
2021-11-19,1,historical_peak,0.8,0.8936170212765957
2021-11-22,1,historical_peak,0.8,0.8958333333333334
2021-11-23,1,historical_peak,0.8,0.8979591836734694
2021-11-24,1,historical_peak,0.8,0.9
2021-11-25,1,historical_peak,0.8,0.9019607843137255
2021-11-26,1,historical_peak,0.8,0.8846153846153846
2021-11-29,1,historical_peak,0.8,0.8867924528301887
2021-11-30,1,historical_peak,0.8,0.8888888888888888
2021-12-01,1,historical_peak,0.8,0.8909090909090909
2021-12-02,1,historical_peak,0.8,0.875
2021-12-03,1,historical_peak,0.8,0.8596491228070176
2021-12-06,1,historical_peak,0.8,0.8620689655172413
2021-12-07,1,historical_peak,0.8,0.864406779661017
2021-12-08,1,historical_peak,0.8,0.8666666666666667
2021-12-09,1,historical_peak,0.8,0.8688524590163934
2021-12-10,1,historical_peak,0.8,0.8709677419354839
2021-12-13,1,historical_peak,0.8,0.873015873015873
2021-12-14,1,historical_peak,0.8,0.875
2021-12-15,1,historical_peak,0.8,0.8769230769230769
2021-12-16,1,historical_peak,0.8,0.8787878787878788
2021-12-17,1,historical_peak,0.8,0.8805970149253731
2021-12-20,1,historical_peak,0.8,0.8823529411764706
2021-12-21,1,historical_peak,0.8,0.8840579710144928
2021-12-22,1,historical_peak,0.8,0.8714285714285714
2021-12-23,1,historical_peak,0.8,0.8732394366197183
2021-12-24,1,historical_peak,0.8,0.875
2021-12-27,1,historical_peak,0.8,0.8767123287671232
2021-12-28,1,historical_peak,0.8,0.8648648648648649
2021-12-29,1,historical_peak,0.8,0.8666666666666667
2021-12-30,1,historical_peak,0.8,0.868421052631579
2021-12-31,1,historical_peak,0.8,0.8701298701298701
2022-01-04,1,historical_peak,0.8,0.8717948717948718
2022-01-05,1,historical_peak,0.8,0.8734177215189873
2022-01-06,1,historical_peak,0.8,0.875
2022-01-07,1,historical_peak,0.8,0.8641975308641975
2022-01-10,1,historical_peak,0.8,0.8536585365853658
2022-01-11,1,historical_peak,0.8,0.8554216867469879
2022-01-12,1,historical_peak,0.8,0.8452380952380952
2022-01-13,1,historical_peak,0.8,0.8470588235294118
2022-01-14,1,historical_peak,0.8,0.8372093023255814
2022-01-17,1,historical_peak,0.8,0.8275862068965517
2022-01-18,1,historical_peak,0.8,0.8295454545454546
2022-01-19,1,historical_peak,0.8,0.8314606741573034
2022-01-20,1,historical_peak,0.8,0.8333333333333334
2022-01-21,1,historical_peak,0.8,0.8241758241758241
2022-01-24,1,historical_peak,0.8,0.8260869565217391
2022-01-25,1,historical_peak,0.8,0.8279569892473119
2022-01-26,1,historical_peak,0.8,0.8297872340425532
2022-01-27,1,historical_peak,0.8,0.8315789473684211
2022-01-28,1,historical_peak,0.8,0.8333333333333334
2022-02-07,1,historical_peak,0.8,0.8350515463917526
2022-02-08,1,historical_peak,0.8,0.8367346938775511
